ibeId,giataId,giataName,giataCity,status,confidence,score,offerCount,sampleHotelName,sampleDestinationCity
100906806,1840,Pergola Hotel & Spa,Mellieha,override,1,1.2,1,Pergola Hotel & Spa,St Paul's Bay
1012570,276263,B&B HOTEL Pomezia Cortese,Pomezia,override,1,1.2,1,B&B HOTEL Pomezia Cortese,Pomezia
101501961,1492710,Invisa Aparthotel Casa Luis,Santa Eulalia del Rio,override,1,1.2,3,Invisa Aparthotel Casa Luis,Santa Eulalia del Río
10154625,1286683,Barceló Nura,Biniancolla,override,1,1.2,1,Barceló Nura,"Menorca, Spanien"
1023722,100410,Villea Village,Makrigialos,override,1,1.2,9,Villea Village,Koutsounára
1026955,126426,JAZ Neo Reef Marsa,Madinat Coraya,override,1,1.2,2,JAZ Neo Reef Marsa,Port Ghalib
1027564,23546,Nova Maldives,Vakarufalhi,override,1,1.2,5,Nova Maldives,Nalaguraidhoo
10422,99827,Park Hotel,Orbetello,override,1,1.2,1,Park Hotel,Syrakus
1042697,408679,B&B HOTEL Milano Sesto Marelli,Sesto San Giovanni,override,1,1.2,1,B&B Hotel Milano Sesto Marelli,Mailand
1044096,18857,Selectum Colours Side,Çenger,override,1,1.2,8,Selectum Colours Side,Okurcalar
1080956,28174,Best Roquetas,Roquetas de Mar,override,1,1.2,3,Hotel Best Roquetas,Roquetas de Mar
1082624,136080,Hotel Continental,Santa Margherita Ligure,override,1,1.2,2,Hotel Continental,Opatija
1083455,1896,AX Sunny Coast Resort & Spa,Qawra,override,1,1.2,1,AX Sunny Coast Resort & Spa,St. Julianʼs
11547373,1365525,Zleep Hotel Madrid Airport,Madrid,override,1,1.2,1,Zleep Madrid Airport,Madrid
12069252,1370621,Coral La Quinta Park Suites,La Quinta,override,1,1.2,1,Coral La Quinta Park Suites,Puerto de la Cruz
12919537,1347940,"Cala San Miguel Ibiza Resort, Curio Collection by Hilton",Puerto de San Miguel,override,1,1.2,2,"Cala San Miguel Ibiza Resort, Curio Collection by Hilton",Portinatx
131506,8881,Grand Hotel Adriatico,Florenz,override,1,1.2,1,Grand Hotel Adriatico,Florenz
132677,3240,HYB Eurocalas,Calas de Mallorca,override,1,1.2,13,HYB Eurocalas,Manacor
13681,109148,Precise House Montaperti Siena,Asciano,override,1,1.2,1,Precise House Montaperti Siena,Siena
146204,16471,Best Los Ángeles,Salou,override,1,1.2,1,Hotel Best Los Angeles,Salou
1477268,7895,Club Aqua Plaza,Okurcalar,override,1,1.2,3,Club Aqua Plaza,Okurcalar
1477869,4720,Asteria Family Resort Belek,Belek,override,1,1.2,1,Asteria Family Resort Belek,Serik
1481161,245868,Apartments Stella Plava Laguna,Umag,override,1,1.2,2,Apartments Stella Plava Laguna,Umag
149530,134470,Michelangelo Resort & Spa,Agios Fokas,override,1,1.2,6,Michelangelo Resort & Spa,Psalidi
15051,48840,Hotel Playas de Guardamar,Guardamar del Segura,override,1,1.2,2,Hotel Playas de Guardamar,Guardamar del Segura
151848,3306,Blau Colonia Sant Jordi,Colònia de Sant Jordi,override,1,1.2,2,Blau Colònia Sant Jordi,Colonia Sant Jordi
1519006,60213,A Good Life Utopia Family Resort,Okurcalar,override,1,1.2,1,A Good Life Utopia Family Resort,Okurcalar
152369,6461,Servatur Green Beach,Arguineguín,override,1,1.2,1,Servatur Green Beach,Maspalomas
1523790,53098,Sentido Luna Vista Belek,Belek,override,1,1.2,1,Sentido Luna Vista Belek Hotel,Belek
15437068,1457353,Palemon Resort & Spa,Manavgat,override,1,1.2,12,PALEMON Resort& Spa,Okurcalar
15772,264216,B&B HOTEL Pisa Airport,Pisa,override,1,1.2,1,B&B HOTEL Pisa Airport,Pisa
15982,37,Mövenpick Resort & Spa El Gouna,El Gouna,override,1,1.2,1,Mövenpick Resort & Spa El Gouna,El Gouna
1598742,13561,Grecotel Casa Paradiso,Marmari,override,1,1.2,1,Grecotel Casa Paradiso,"Insel Kos, Griechenland"
161660,126959,B&B HOTEL Bari Rondò,Bari,override,1,1.2,1,B&B HOTEL Bari Rondò,Bari
163771,85,Amarina Abu Soma Resort & Aquapark,Safaga,override,1,1.2,1,Amarina Abu Soma Resort & Aquapark,Soma Bay
167206,858,"Domes Aulus Elounda Resort, Curio Collection by Hilton",Elounda,override,1,1.2,6,"Domes Aulus Elounda, Adults only, Curio Collection by Hilton",Elounda
1690652,188309,Mangia's Favignana Resort,Insel Favignana,override,1,1.2,2,Mangia's Favignana Resort,Favignana
170840,2218,Santa Cruz Village Hotel,Santa Cruz (Madeira),override,1,1.2,2,Santa Cruz Village Hotel,Santa Cruz
172094,401572,MLL Palma Bay Club Resort,S'Arenal,override,1,1.2,8,MLL Palma Bay Club Resort,"Mallorca, Spanien"
172244,140473,Jaz Grand Marsa,Marsa Alâm,override,1,1.2,1,JAZ Grand Marsa,Port Ghalib
174099,182421,Festa Pomorie Resort,Pomorie,override,1,1.2,1,Festa Pomorie Apartments,Pomorie
176447,3154,BLUESEA Don Jaime,Cala Millor,override,1,1.2,2,BLUESEA Don Jaime,Cala Millor
177909,59008,ALEGRIA Cartago Nova,Malgrat de Mar,override,1,1.2,4,ALEGRIA Cartago Nova,"Costa Barcelona, Spanien"
1840418,423984,Vincci Porto,Porto,override,1,1.2,1,Vincci Porto,Porto
1861794,135407,Aegean Pearl,Rethymno,override,1,1.2,3,Aegean Pearl,Marmari
1872127,4022,Sentido Phenicia,Hammamet,override,1,1.2,1,Sentido Phenicia,Hammamet
193649,2806,Servatur Puerto Azul,Puerto Rico,override,1,1.2,2,Servatur Puerto Azul,"Gran Canaria, Spanien"
19675,19139,BLUESEA Playa Azul,Cala'n Porter,override,1,1.2,7,BLUESEA Playa Azul,Son Bou
197147,39162,THB Tropical Island,Playa Blanca,override,1,1.2,1,THB Tropical Island,Playa Blanca
199411,48751,Flipflop Surfing Playa,Santa Ponsa,override,1,1.2,7,Flipflop Surfing Playa,Magaluf
2088625,406104,Amilla Maldives,Finolhas,override,1,1.2,9,Amilla Maldives,Lhaviyani Atoll
209120,228152,"Radisson Blu Hotel, Cairo Heliopolis",Kairo,override,1,1.2,1,Radisson Blu Hotel Cairo Heliopolis,Kairo
20946,3259,Hotel Amic Gala,Can Pastilla,override,1,1.2,5,Hotel Amic Gala,Palma de Mallorca
20952,3481,Hotel Amic Miraflores,Can Pastilla,override,1,1.2,2,Hotel Amic Miraflores,Palma de Mallorca
210744,197245,Iberostar Selection Royal El Mansour,Mahdia,override,1,1.2,2,Iberostar Selection Royal El Mansour,Mahdia
212319,53679,Calido Sol Hotel,Okurcalar,override,1,1.2,3,Calido Sol Hotel,Okurcalar
213286,10847,Hotel Corte Rosada - Adults Only Affiliated by Meliá,Alghero,override,1,1.2,1,"Adults Only, Affiliated by Meliá",Alghero
23443,83966,B&B HOTEL Ravenna,Ravenna,override,1,1.2,2,B&B Hotel Ravenna,Ravenna
23743,22270,B&B HOTEL Verona,Verona,override,1,1.2,2,B&B Hotel Verona,Verona
2385404,409279,Jaz Aquaviva,Makadi Bay,override,1,1.2,1,JAZ Aquaviva,Makadi Bay
2390605,284863,Seaden Sea Planet Resort & SPA,Kizilot,override,1,1.2,1,Seaden Sea Planet Resort & Spa,Kizilagac
2407182,54509,Casa Blue Resort,Marsa Alâm,override,1,1.2,1,Casa Blue Resort,Port Ghalib
2449641,3582,BLUESEA Marina Parc,Arenal d'en Castell,override,1,1.2,1,BLUESEA Marina Parc,Na Macaret
2480368,41360,Lucy Hotel,Kavala,override,1,1.2,1,Lucy Hotel,Kavala
2521178,70709,B&B HOTEL Milano Ornato,Mailand,override,1,1.2,1,B&B HOTEL Milano Ornato,Mailand
252605,28715,Hipotels Bahía Cala Millor,Cala Millor,override,1,1.2,2,Hipotels Cala Millor Park,Cala Millor
256630,92844,Vita Silva Hotel,Çenger,override,1,1.2,6,Vita Silva Hotel,Kizilagac
261548,265006,B&B HOTEL Milano Monza,Monza,override,1,1.2,3,B&B Hotel Milano-Monza,Mailand
261771,52059,BLUESEA Torremolinos Centro,Torremolinos,override,1,1.2,1,BLUESEA Torremolinos Centro,"Andalusien, Spanien"
2622250,22338,THB Royal,Playa Blanca,override,1,1.2,2,THB Royal,Playa Blanca
2627164,161137,B&B HOTEL Savona,Savona,override,1,1.2,1,B&B Hotel Savona,Savona
2629544,101002,Finca Ratxó Member of Meliá Collection,Puigpunyent,override,1,1.2,12,Finca Ratxó member of Meliá Collection,Calvia
2638720,48682,BLUESEA Copacabana,Lloret de Mar,override,1,1.2,14,BLUESEA Copacabana,Lloret de Mar
270011,3005,THB Lanzarote Beach,Costa Teguise,override,1,1.2,1,THB Lanzarote Beach,Costa Teguise
2768595,424785,Novotel Marsa Alam Beach Resort,al-Qusair,override,1,1.2,2,Novotel Marsa Alam Beach Resort,El Quseir
29934,77597,B&B HOTEL Bologna,Castel Maggiore,override,1,1.2,2,B&B HOTEL Bologna,Bologna
3066963,4091,Iberostar Selection Kuriat Palace,Monastir,override,1,1.2,1,Iberostar Selection Kuriat Palace,Monastir
326489,10382,Mr & Mrs White Paros,Naoussa (Paros),override,1,1.2,1,Mr and Mrs White Paros,"Naoussa, Paros"
329930,412243,Residence Garden Istra Plava Laguna,Umag,override,1,1.2,1,Residence Garden Istra Plava Laguna,Piran
336941,245869,Apartments Amfora Plava Laguna,Umag,override,1,1.2,1,Apartments Amfora Plava Laguna,Umag
342986,7846,Aphea Village,Kolymbari,override,1,1.2,1,Aphea Village,Platanias (Crete)
343324,299778,Golden Moon Hotel,Fethiye,override,1,1.2,3,Golden Moon Hotel,Fethiye
354829,4291,Dream of Ölüdeniz,Ölüdeniz,override,1,1.2,1,Dream of Oludeniz Hotel -All inclusive,Oludeniz
356658,245504,BLUESEA Ses Cases d'Or,Cala d'Or,override,1,1.2,10,BLUESEA Ses Cases d'Or,Santanyi
366376,34942,JAZ Makadi Saraya Resort,Makadi Bay,override,1,1.2,1,JAZ Makadi Saraya Resort,Makadi Bay
371689,52047,Hotel Santa Mónica Playa,Salou,override,1,1.2,1,Santa Monica Playa,Salou
372545,18673,Barceló Portinatx - Adults Only,Portinatx,override,1,1.2,7,Barceló Portinatx Adults Only,Portinatx
376199,125193,Piskopiano Village,Piskopiano,override,1,1.2,2,Piskopiano Village,Hersonissos
376680,3212,THB Guya Playa,Cala Ratjada,override,1,1.2,1,THB Guya Playa,Cala Ratjada
385050,3561,O7 Colombo,S'Illot,override,1,1.2,1,O7 Colombo,Cala Millor
386901,414511,Elounda Krini Hotel,Elounda,override,1,1.2,2,Elounda Krini Hotel,"Agios Nikolaos, Kreta"
393995,23596,Innvista Hotel Belek,Belek,override,1,1.2,1,Innvista Hotels Belek,Belek
395330,20462,Iberostar Waves Cala Domingos,Calas de Mallorca,override,1,1.2,15,Iberostar Waves Cala Domingos -All Inclusive,Calas de Mallorca
